Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,CPIAUCSL,FEDFUNDS
2021-01-19,108.16470828640603,109.2622178339533,107.346556362961,107.685791015625,1839600,0.0,0.0,261.564,0.09
2021-01-20,107.7755897479085,108.34429975693395,105.57059102477007,107.45631408691406,2771500,0.0,0.0,261.564,0.09
2021-01-21,107.43636384422429,109.67129349522895,106.89758473322514,108.57378387451172,1799700,0.0,0.0,261.564,0.09
2021-01-22,107.26674457761663,107.64588203006437,104.4331665466891,104.7225112915039,2894100,0.0,0.0,261.564,0.09
2021-01-25,103.86445997928833,105.49077678426897,102.35787440055618,104.88215637207031,5310200,0.0,0.0,261.564,0.09
2021-01-26,105.4907732702072,106.02954474004784,104.37330469884216,104.43316650390625,2800900,0.0,0.0,261.564,0.09
2021-01-27,102.71706165399132,103.58509592702521,98.34697460921139,98.44674682617188,4592600,0.0,0.0,261.564,0.09
2021-01-28,100.65174324657093,104.60278232229308,100.65174324657093,103.76468658447266,6544200,0.0,0.0,261.564,0.09
2021-01-29,102.99643184078879,103.00640373373304,98.7959508231258,101.16059112548828,4844100,0.0,0.0,261.564,0.09
2021-02-01,102.14835037185206,103.58509463701346,101.60957127241653,101.68939208984375,2860800,0.0,0.0,263.346,0.08
2021-02-02,102.94654117136305,106.80778749725893,102.4975624039451,105.5506362915039,2556300,0.0,0.0,263.346,0.08
2021-02-03,105.57058935464576,108.07491230065598,105.46083763427781,106.35880279541016,2373600,0.0,0.0,263.346,0.08
2021-02-04,107.1470128302097,110.27990748335878,107.09712291812576,110.26992797851562,2091400,0.0,0.0,263.346,0.08
2021-02-05,111.04817753779234,112.3452316123891,110.0903429189611,111.4173355102539,2279900,0.0,0.0,263.346,0.08
2021-02-08,112.43503014168358,112.90396793804099,110.36971402633561,112.06586456298828,2061000,0.0,0.0,263.346,0.08
2021-02-09,111.98604195730861,112.25543531404374,109.93070538015871,110.1003189086914,1590500,0.0,0.0,263.346,0.08
2021-02-10,109.92072178706302,110.23999743389363,108.56379838499993,109.09259796142578,2750400,0.0,0.0,263.346,0.08
2021-02-11,109.89079435582413,110.91846263864328,108.47400910401777,109.25224304199219,1792200,0.0,0.0,263.346,0.08
2021-02-12,108.87310509277101,112.15566196974783,108.62367074903842,111.88626861572266,2128300,0.0,0.0,263.346,0.08
2021-02-16,112.57470948833875,113.76201178454397,111.74658564282399,113.35294342041016,2927800,0.0,0.0,263.346,0.08
2021-02-17,110.57923841297715,115.06905673506768,108.56380459226686,111.1778793334961,3816200,0.0,0.0,263.346,0.08
2021-02-18,108.72344444477116,114.94932361772783,108.25450665422646,113.8617935180664,2695900,0.0,0.0,263.346,0.08
2021-02-19,114.6998923964052,117.52349110977232,114.2509136041893,116.6454849243164,3463300,0.0,0.0,263.346,0.08
2021-02-22,118.48131442270395,121.85366404232576,117.27405310077899,119.6885757446289,4374200,0.0,0.0,263.346,0.08
2021-02-23,121.30490669502225,122.03325068484996,118.02234995810794,121.67406463623047,3703300,0.0,0.0,263.346,0.08
2021-02-24,123.07090434615819,127.19156459884901,122.10309786925859,126.97206115722656,4486200,0.0,0.0,263.346,0.08
2021-02-25,127.4709274501233,127.87002391719192,120.81601346299392,122.70174407958984,5262900,0.0,0.0,263.346,0.08
2021-02-26,123.31035379515349,124.29811923927122,119.86816302821747,123.40015411376953,3615400,0.0,0.0,263.346,0.08
2021-03-01,125.43554482308028,125.56524794231078,122.52215349594326,123.47998046875,2614900,0.0,0.0,265.028,0.07
2021-03-02,123.61966550240005,124.80696783330241,122.22283161861797,123.9688720703125,3325600,0.0,0.0,265.028,0.07
2021-03-03,123.9688632028401,125.55526190308137,122.85139465332031,122.85139465332031,2108300,0.0,0.0,265.028,0.07
2021-03-04,122.97113569464524,123.04097700881005,116.73527688660035,120.44686126708984,3555500,0.0,0.0,265.028,0.07
2021-03-05,121.62418875783557,122.65185704647745,116.17654354901633,122.59199523925781,3696600,0.0,0.0,265.028,0.07
2021-03-08,123.24052052803181,126.47319519078356,121.74391442524639,125.12625122070312,2573200,0.0,0.0,265.028,0.07
2021-03-09,126.68271470744428,126.68271470744428,123.33031654531368,123.83916473388672,2560500,0.0,0.0,265.028,0.07
2021-03-10,124.10855551389264,125.69496195017678,122.52215668974081,124.22828674316406,1846700,0.0,0.0,265.028,0.07
2021-03-11,124.27816511898315,125.9144538066566,123.04097290413709,124.37794494628906,1711000,0.0,0.0,265.028,0.07
2021-03-12,125.03644806892596,126.29359929823627,124.05866208787747,125.81468200683594,1588800,0.0,0.0,265.028,0.07
2021-03-15,126.67273689826285,128.62830125033133,124.78701385833496,126.97206115722656,1773000,0.0,0.0,265.028,0.07
2021-03-16,127.10176687175051,127.49088384906992,123.48995474069123,123.67952728271484,1819400,0.0,0.0,265.028,0.07
2021-03-17,123.22056952344309,127.33125037260898,123.17067960833776,126.85233306884766,3831700,0.0,0.0,265.028,0.07
2021-03-18,126.28361656352074,128.38883537683637,124.81694143552221,125.35572052001953,2550000,0.0,0.0,265.028,0.07
2021-03-19,124.7171714309442,125.63508798576426,121.86364193963364,124.10855102539062,2810800,0.0,0.0,265.028,0.07
2021-03-22,124.22828260413144,124.54755825941866,122.1230561354109,122.64187622070312,2031200,0.0,0.0,265.028,0.07
2021-03-23,121.88359974611039,122.32259900896189,117.93255309552319,118.63097381591797,2659000,0.0,0.0,265.028,0.07
2021-03-24,119.55887273768501,121.37475447490553,118.20194928436284,118.23188018798828,2035000,0.0,0.0,265.028,0.07
2021-03-25,117.2740492988979,120.50671618884547,115.88719498821759,120.12757873535156,2680800,0.0,0.0,265.028,0.07
2021-03-26,120.80604448613612,121.33484408261013,118.65092807922443,120.84595489501953,2149800,0.0,0.0,265.028,0.07
2021-03-29,120.65638320638776,121.06545157909514,117.84276406339629,118.7806396484375,2135300,0.0,0.0,265.028,0.07
2021-03-30,118.68085727221899,122.33257970502919,118.42145103641401,121.78382110595703,2548900,0.0,0.0,265.028,0.07
2021-03-31,122.03325478122098,122.5421029692014,120.56657963548048,120.64640045166016,2031500,0.0,0.0,265.028,0.07
2021-04-01,121.62419020860834,121.82373464314213,120.10762510247552,121.374755859375,1696900,0.0,0.0,266.727,0.07
2021-04-05,122.84142441900582,125.8146774385572,122.71171369264249,125.11626434326172,2261100,0.0,0.0,266.727,0.07
2021-04-06,125.2659316100858,127.25142687291273,125.21604169603134,126.37342071533203,1719500,0.0,0.0,266.727,0.07
2021-04-07,126.68271179263634,127.03191834062932,123.97884450370243,124.23825073242188,1803800,0.0,0.0,266.727,0.07
2021-04-08,124.08859783522028,125.84461010287268,122.53212238199082,124.46773529052734,1847100,0.0,0.0,266.727,0.07
2021-04-09,124.11853157644329,124.17839338335233,122.09312591327787,124.06864166259766,921500,0.0,0.0,266.727,0.07
2021-04-12,124.19835092769954,125.15617788759867,122.1928966864656,124.99653625488281,2057800,0.0,0.0,266.727,0.07
2021-04-13,123.49993133896172,126.58294379299531,122.15298740209084,125.82466125488281,3377700,0.0,0.0,266.727,0.07
2021-04-14,125.71490642745148,127.9897463734357,125.35572037154536,126.23372650146484,2461100,0.0,0.0,266.727,0.07
2021-04-15,127.08181234609184,127.5607220238706,125.49540595963602,126.99201202392578,1193000,0.0,0.0,266.727,0.07
2021-04-16,128.22921458919868,128.7580141919313,127.26140809568474,127.7602767944336,1721300,0.0,0.0,266.727,0.07
2021-04-19,127.2015331441473,127.4409955898688,124.97658310727483,125.64506530761719,1451000,0.0,0.0,266.727,0.07
2021-04-20,124.66728502440218,125.01649920393783,120.39697017242408,121.94346618652344,2328500,0.0,0.0,266.727,0.07
2021-04-21,122.23280485967965,123.68950047698289,121.03551547259855,123.629638671875,1329400,0.0,0.0,266.727,0.07
